ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
k ɕ	0.0	81	35755	24763	0.0
j ʈ	0.0	54	37310	10806	0.0
v g	0.0	55	35401	11885	0.0
w c	0.0	35	10014	17705	0.0
j t	0.0	119	37310	56971	0.0
s r	0.0	112	46604	40747	0.0
b z	0.0	38	11669	18942	0.0
b g	0.0	30	11669	11885	0.0
k ʈ	0.0	50	35755	10806	0.0
m ɟ	0.0	16	18989	2143	0.0
w m	0.0	34	10014	18989	0.0
v m	0.0	63	35401	18989	0.0
d ʑ	0.0	20	18321	3717	0.0
z x	0.0	27	18942	6687	0.0
f ɕ	0.0	45	14460	24763	0.0
g ɟ	0.0	12	11885	2143	0.0
t m	0.0	78	56971	18989	0.0
m m	0.0	45	18989	18989	0.0
d x	0.0	25	18321	6687	0.0
r r	0.0	89	40747	40747	0.0
z z	0.0	41	18942	18942	0.0
n ʈ	0.0	43	37354	10806	0.0
v ʑ	0.0	24	35401	3717	0.0
w b	0.0	22	10014	11669	0.0
s ɲ	0.0	69	46604	25683	0.0
m s	0.0	59	18989	46604	0.0
l p	0.0	53	22849	31656	0.0
g b	0.0	23	11885	11669	0.0
ʐ d	0.0	23	7688	18321	0.0
p ɕ	0.0	54	31656	24763	0.0
w v	0.0	36	10014	35401	0.0
m ʐ	0.0	23	18989	7688	0.0
ʑ r	0.0	23	3717	40747	0.0
s ʂ	0.0	70	46604	30262	0.0
x ʂ	0.0	26	6687	30262	0.0
n ʂ	0.0	60	37354	30262	0.0
ɲ t	0.0	67	25683	56971	0.0
m g	0.0	26	18989	11885	0.0
f x	0.0	17	14460	6687	0.0
b ʑ	0.0	11	11669	3717	0.001
ʂ c	0.0	38	30262	17705	0.0
s c	0.0	43	46604	17705	0.0
n c	0.0	38	37354	17705	0.0
j ʂ	0.0	49	37310	30262	0.0
j ɕ	0.0	43	37310	24763	0.0
ɕ k	0.0	42	24763	35755	0.0
m d	0.0	26	18989	18321	0.0
m ʂ	0.0	32	18989	30262	0.0
l ʂ	0.0	35	22849	30262	0.0
v b	0.0	26	35401	11669	0.0
f f	0.0	18	14460	14460	0.0
k p	0.0	41	35755	31656	0.0
ʑ g	0.0	8	3717	11885	0.008
m ʈ	0.0	16	18989	10806	0.0
x f	0.0	10	6687	14460	0.002
n ɟ	0.0	9	37354	2143	0.004
l ɕ	0.0	22	22849	24763	0.0
k k	0.0	33	35755	35755	0.0
k c	0.0	23	35755	17705	0.0
w s	0.0	19	10014	46604	0.0
n ɖ	0.0	3	37354	320	0.25
ʂ ʂ	0.0	26	30262	30262	0.0
b b	0.0	10	11669	11669	0.002
ɕ t	0.0	31	24763	56971	0.0
j f	0.0	19	37310	14460	0.0
z ɖ	0.0	2	18942	320	0.5
ɲ b	0.0	14	25683	11669	0.0
r ɕ	0.0	24	40747	24763	0.0
w x	0.0	6	10014	6687	0.031
k m	0.0	19	35755	18989	0.0
j z	0.0	19	37310	18942	0.0
w w	0.0	7	10014	10014	0.016
f n	0.0	16	14460	37354	0.0
ʐ r	0.0	12	7688	40747	0.0
w ʑ	0.0	4	10014	3717	0.125
p f	0.0	14	31656	14460	0.0
m ɕ	0.0	14	18989	24763	0.0
ʂ r	0.0	22	30262	40747	0.0
j b	0.0	13	37310	11669	0.0
j l	0.0	18	37310	22849	0.0
j p	0.0	21	37310	31656	0.0
m t	0.0	18	18989	56971	0.0
ɲ ɟ	0.0	4	25683	2143	0.125
x s	0.0	9	6687	46604	0.004
w ɕ	0.0	8	10014	24763	0.008
ɲ ʂ	0.0	14	25683	30262	0.0
j r	0.0	19	37310	40747	0.0
x ʈ	0.0	4	6687	10806	0.125
w l	0.0	7	10014	22849	0.016
k x	0.0	7	35755	6687	0.016
m x	0.0	5	18989	6687	0.062
ɕ s	0.0	15	24763	46604	0.0
n ɕ	0.0	13	37354	24763	0.0
g g	0.0	5	11885	11885	0.062
w f	0.0	5	10014	14460	0.062
j w	0.0	8	37310	10014	0.008
x ʑ	0.0	2	6687	3717	0.5
l z	0.0	8	22849	18942	0.008
j g	0.0	8	37310	11885	0.008
ʑ ʐ	0.0	2	3717	7688	0.5
f ɲ	0.0	7	14460	25683	0.016
ʐ j	0.0	6	7688	37310	0.031
j ɟ	0.0	3	37310	2143	0.25
ʂ s	0.0	12	30262	46604	0.0
p p	0.0	10	31656	31656	0.002
m v	0.0	8	18989	35401	0.008
g ʑ	0.0	2	11885	3717	0.5
x d	0.0	3	6687	18321	0.25
ʐ z	0.0	3	7688	18942	0.25
w r	0.0	5	10014	40747	0.062
m z	0.0	4	18989	18942	0.125
w j	0.0	4	10014	37310	0.125
n p	0.0	7	37354	31656	0.016
l c	0.0	4	22849	17705	0.125
j c	0.0	5	37310	17705	0.062
j v	0.0	7	37310	35401	0.016
j x	0.0	3	37310	6687	0.25
ɕ ʈ	0.0	3	24763	10806	0.25
n r	0.0	7	37354	40747	0.016
x z	0.0	2	6687	18942	0.5
v v	0.0	6	35401	35401	0.031
m c	0.0	3	18989	17705	0.25
r ʑ	0.0	2	40747	3717	0.5
ɕ f	0.0	3	24763	14460	0.25
l ɟ	0.0	1	22849	2143	1.0
x p	0.0	2	6687	31656	0.5
ʑ m	0.0	1	3717	18989	1.0
x b	0.0	1	6687	11669	1.0
n m	0.0	3	37354	18989	0.25
n j	0.0	4	37354	37310	0.125
n w	0.0	2	37354	10014	0.5
n l	0.0	3	37354	22849	0.25
ʂ f	0.0	2	30262	14460	0.5
ʂ j	0.0	3	30262	37310	0.25
j ʑ	0.0	1	37310	3717	1.0
f m	0.0	1	14460	18989	1.0
n b	0.0	1	37354	11669	1.0
l r	0.0	1	22849	40747	1.0
