segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[t|tʰ] [s|ʃ'|tʰ|ʃ|ʃʰ|t|t']	-cg,-cont,+anterior +coronal,-son	0.005	546	939	2119	0.0
[t|tʰ|s|t'] [s|ʃ|ʃ']	+anterior,-son +cont,-sg	0.0049	472	1558	963	0.0
[s|r|ʃ'|tʰ|ʎ|n|ʃ|ɲ|ʃʰ|t|l|t'] [ʃʰ|ʃ|ʃ']	+coronal -anterior,+strid	0.0049	546	3601	561	0.0
[p'|q'|p|k'|q|k|t|t'] [ʃʰ|ʃ]	-cont,-sg -cg,-anterior	0.0049	366	2389	381	0.0
[p'|q'|p|pʰ|k'|tʰ|n|q|qʰ|ɴ|kʰ|k|m|ɲ|t|ŋ|t'] [ʃʰ|ʃ|ʃ']	-cont -anterior,+strid	0.0048	546	3630	561	0.0
[t|tʰ|s] [s|ʃ'|ʃ|x|ʃʰ|h]	-cg,+anterior -son,+cont	0.0048	546	1415	1449	0.0
[s|ʃ'|ʃ|t|t'] [ʃʰ|s|ʃ|ʃ']	+coronal,-sg +strid	0.0048	546	1985	1037	0.0
[t|t'] [s|r|ʃ'|ʎ|ʃ|ʃʰ|l]	-cont,+coronal,-sg +coronal,+cont	0.0048	546	1022	2015	0.0
[s|ʃ'|tʰ|ʃ|ʃʰ|t|t'] [ʃ'|ʎ|ɲ|ʃ|ʃʰ]	+coronal,-son -anterior	0.0048	550	2119	988	0.0
[s|ʃ'|tʰ|ʃ|ʃʰ|t|t'] [ʃʰ|ʎ|ʃ|ʃ']	+coronal,-son -anterior,+cont	0.0048	550	2119	988	0.0
[t|tʰ|t'] [ʃʰ|s|ʃ]	-cont,+anterior,-son -cg,+strid	0.0048	366	1082	857	0.0
[t|tʰ] [ʃʰ|h|s|ʃ]	-cg,-cont,+anterior -cg,+cont	0.0047	366	939	1001	0.0
[p|pʰ|s|tʰ|q|kʰ|k|ʃ|ʃʰ|t|h|qʰ] [ʃ|ʃ']	-cg -anterior,-sg	0.0047	472	3213	487	0.0
[s|ʃ'|ʃ|t|t'] [ʃ]	+coronal,-sg -cg,-anterior,-sg	0.0046	292	1985	307	0.0
[t|s|ʃ] [s|ʃ|ʃ']	-cg,+coronal,-sg +cont,-sg	0.0046	472	1662	963	0.0
[t|t'] [s|ʃ'|tʰ|ʃ|ʃʰ|t|t']	-cont,+coronal,-sg +coronal,-son	0.0046	546	1022	2119	0.0
[t|s|t'] [s|ʃ'|ʃ|x|ʃʰ|h]	+anterior,-sg -son,+cont	0.0045	546	1498	1449	0.0
[t|tʰ|t'] [s|r|ʃ'|ʎ|ʃ|ʃʰ|l]	-cont,+anterior,-son +coronal,+cont	0.0045	546	1082	2015	0.0
[p'|q'|p|s|ʃ'|k'|q|k|ʃ|t|t'] [ʃ|ʃ']	-sg -anterior,-sg	0.0045	472	3352	487	0.0
[p|pʰ|tʰ|q|kʰ|k|t|qʰ] [ʃ'|ʎ|ɲ|ʃ|ʃʰ]	-cg,-cont -anterior	0.0045	546	2212	988	0.0
[p|pʰ|tʰ|q|kʰ|k|t|qʰ] [ʃʰ|ʎ|ʃ|ʃ']	-cg,-cont -anterior,+cont	0.0045	546	2212	988	0.0
[s|ʃ'|tʰ|ʃ|ʃʰ|t|t'] [ʃʰ|s|ʃ|ʃ']	+coronal,-son +strid	0.0045	546	2119	1037	0.0
[s|tʰ|n|r|t|l|t'] [ʃʰ|ʃ]	+anterior -cg,-anterior	0.0045	366	2613	381	0.0
[p|s|q|k|ʃ|t] [ʃʰ|ʃ]	-cg,-sg -cg,-anterior	0.0044	366	2626	381	0.0
[t|tʰ|n|t'] [s|ʃ'|ʃ|x|ʃʰ|h]	-cont,+anterior -son,+cont	0.0044	553	1586	1449	0.0
[tʰ|n|ɲ|t|t'] [s|ʃ'|ʃ|x|ʃʰ|h]	-cont,+coronal -son,+cont	0.0044	553	1586	1449	0.0
[t|s] [ʃ']	-cg,+anterior,-sg -anterior,+cg	0.0044	180	1355	180	0.0
[t|tʰ|s|t'] [s|ʃ'|ʃ|x|ʃʰ|h]	+anterior,-son -son,+cont	0.0044	546	1558	1449	0.0
[s|ʃ'|tʰ|ʃ|ʃʰ|t|t'] [ʃ]	+coronal,-son -cg,-anterior,-sg	0.0043	292	2119	307	0.0
[t|t'] [ʃʰ|h|s|ʃ]	-cont,+coronal,-sg -cg,+cont	0.0043	366	1022	1001	0.0
[t|tʰ|t'] [s|ʃ'|tʰ|ʃ|ʃʰ|t|t']	-cont,+anterior,-son +coronal,-son	0.0043	546	1082	2119	0.0
[p|pʰ|tʰ|q|kʰ|k|t|qʰ] [ʃʰ|s|ʃ|ʃ']	-cg,-cont +strid	0.0043	546	2212	1037	0.0
[s|tʰ|ʃ|ʃʰ|t] [s|ʃ|ʃ']	-cg,+coronal +cont,-sg	0.0043	472	1796	963	0.0
[t] [s|ʃ'|ʃ|t|t']	-cg,-cont,+anterior,-sg +coronal,-sg	0.0042	472	879	1985	0.0
[p'|q'|p|pʰ|k'|tʰ|q|qʰ|kʰ|k|t|t'] [ʃʰ|ʃ]	-cont,-son -cg,-anterior	0.0042	366	2758	381	0.0
[t|tʰ|s] [ʃ']	-cg,+anterior -anterior,+cg	0.0042	180	1415	180	0.0
[s|r|ʃ'|tʰ|ʎ|n|ʃ|ɲ|ʃʰ|t|l|t'] [ʃ|ʃ']	+coronal -anterior,-sg	0.0042	472	3601	487	0.0
