ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
v mʲ	0.0	71	27065	6233	0.0
p ʂ	0.0	69	24288	6618	0.0
j ɕ	0.0	61	36528	3580	0.0
t m	0.0	104	31043	12403	0.0
lʲ k	0.0	132	20272	30932	0.0
m tɕ	0.0	66	12403	12898	0.0
l d	0.0	68	14418	11859	0.0
m s	0.0	111	12403	36779	0.0
r z	0.0	116	36443	13880	0.0
p nʲ	0.0	103	24288	16518	0.0
l n	0.0	117	14418	37273	0.0
lʲ m	0.0	79	20272	12403	0.0
ɡ z	0.0	56	9126	13880	0.0
m f	0.0	42	12403	5763	0.0
ʂ m	0.0	45	6618	12403	0.0
z z	0.0	68	13880	13880	0.0
b j	0.0	89	9086	36528	0.0
n ʐ	0.0	69	37273	5455	0.0
l bʲ	0.0	35	14418	3704	0.0
x tʲ	0.0	60	4756	33763	0.0
ʑ b	0.0	1	5	9086	1.0
f f	0.0	27	5763	5763	0.0
ɕ n	0.0	54	3580	37273	0.0
vʲ j	0.0	77	7473	36528	0.0
r l	0.0	106	36443	14418	0.0
rʲ j	0.0	114	16772	36528	0.0
lʲ ʂ	0.0	53	20272	6618	0.0
k k	0.0	140	30932	30932	0.0
tɕ lʲ	0.0	73	12898	20272	0.0
n f	0.0	66	37273	5763	0.0
x s	0.0	59	4756	36779	0.0
pʲ j	0.0	67	6309	36528	0.0
l s	0.0	100	14418	36779	0.0
nʲ k	0.0	97	16518	30932	0.0
r zʲ	0.0	36	36443	2018	0.0
tɕ kʲ	0.0	36	12898	5776	0.0
s rʲ	0.0	103	36779	16772	0.0
z j	0.0	92	13880	36528	0.0
r lʲ	0.0	111	36443	20272	0.0
b ɡ	0.0	37	9086	9126	0.0
p p	0.0	98	24288	24288	0.0
p pʲ	0.0	49	24288	6309	0.0
m fʲ	0.0	18	12403	1740	0.0
lʲ fʲ	0.0	23	20272	1740	0.0
d j	0.0	78	11859	36528	0.0
dʲ j	0.0	55	5952	36528	0.0
ɡ zʲ	0.0	16	9126	2018	0.0
ʂ vʲ	0.0	26	6618	7473	0.0
lʲ tʲ	0.0	96	20272	33763	0.0
n xʲ	0.0	18	37273	650	0.0
tɕ t	0.0	73	12898	31043	0.0
p kʲ	0.0	43	24288	5776	0.0
p x	0.0	39	24288	4756	0.0
k nʲ	0.0	82	30932	16518	0.0
t tʲ	0.0	117	31043	33763	0.0
tʲ j	0.0	126	33763	36528	0.0
n vʲ	0.0	59	37273	7473	0.0
n ʂ	0.0	55	37273	6618	0.0
r ɣ	0.0	5	36443	56	0.062
l b	0.0	40	14418	9086	0.0
ts k	0.0	74	14887	30932	0.0
n z	0.0	78	37273	13880	0.0
b v	0.0	53	9086	27065	0.0
ɡ v	0.0	53	9126	27065	0.0
lʲ dʲ	0.0	37	20272	5952	0.0
j sʲ	0.0	44	36528	4787	0.0
r rʲ	0.0	80	36443	16772	0.0
n x	0.0	42	37273	4756	0.0
lʲ mʲ	0.0	35	20272	6233	0.0
lʲ z	0.0	52	20272	13880	0.0
s r	0.0	110	36779	36443	0.0
b d	0.0	31	9086	11859	0.0
lʲ f	0.0	32	20272	5763	0.0
ʂ mʲ	0.0	19	6618	6233	0.0
v vʲ	0.0	42	27065	7473	0.0
ʂ tʲ	0.0	44	6618	33763	0.0
lʲ vʲ	0.0	36	20272	7473	0.0
lʲ sʲ	0.0	28	20272	4787	0.0
ɣ ɡʲ	0.0	1	56	2211	1.0
z zʲ	0.0	15	13880	2018	0.0
ɣ b	0.0	2	56	9086	0.5
ɡ d	0.0	29	9126	11859	0.0
nʲ ʂ	0.0	29	16518	6618	0.0
j tɕ	0.0	60	36528	12898	0.0
x k	0.0	33	4756	30932	0.0
k tɕ	0.0	53	30932	12898	0.0
ɡ mʲ	0.0	20	9126	6233	0.0
p ts	0.0	50	24288	14887	0.0
b bʲ	0.0	15	9086	3704	0.0
lʲ ɡ	0.0	35	20272	9126	0.0
v zʲ	0.0	19	27065	2018	0.0
m ʂ	0.0	23	12403	6618	0.0
x vʲ	0.0	15	4756	7473	0.0
m kʲ	0.0	21	12403	5776	0.0
l m	0.0	33	14418	12403	0.0
zʲ j	0.0	21	2018	36528	0.0
v dʲ	0.0	31	27065	5952	0.0
sʲ j	0.0	32	4787	36528	0.0
l z	0.0	34	14418	13880	0.0
f n	0.0	35	5763	37273	0.0
ts mʲ	0.0	23	14887	6233	0.0
v m	0.0	43	27065	12403	0.0
x p	0.0	25	4756	24288	0.0
ɕ rʲ	0.0	18	3580	16772	0.0
tɕ rʲ	0.0	34	12898	16772	0.0
l tʲ	0.0	51	14418	33763	0.0
m r	0.0	49	12403	36443	0.0
x tɕ	0.0	18	4756	12898	0.0
r r	0.0	83	36443	36443	0.0
f ts	0.0	21	5763	14887	0.0
l dʲ	0.0	21	14418	5952	0.0
ʐ bʲ	0.0	10	5455	3704	0.002
ɕ nʲ	0.0	17	3580	16518	0.0
sʲ m	0.0	17	4787	12403	0.0
ɣ bʲ	0.0	1	56	3704	1.0
lʲ bʲ	0.0	19	20272	3704	0.0
k ʂ	0.0	31	30932	6618	0.0
j ts	0.0	50	36528	14887	0.0
b z	0.0	24	9086	13880	0.0
ʐ b	0.0	15	5455	9086	0.0
lʲ ɡʲ	0.0	14	20272	2211	0.0
j m	0.0	44	36528	12403	0.0
ʐ m	0.0	17	5455	12403	0.0
ɡ vʲ	0.0	17	9126	7473	0.0
j d	0.0	42	36528	11859	0.0
f m	0.0	17	5763	12403	0.0
s ɕ	0.0	23	36779	3580	0.0
ʂ s	0.0	31	6618	36779	0.0
bʲ j	0.0	23	3704	36528	0.0
l mʲ	0.0	18	14418	6233	0.0
p fʲ	0.0	12	24288	1740	0.0
ts l	0.0	27	14887	14418	0.0
ʐ lʲ	0.0	19	5455	20272	0.0
mʲ j	0.0	27	6233	36528	0.0
j mʲ	0.0	27	36528	6233	0.0
t fʲ	0.0	13	31043	1740	0.0
j dʲ	0.0	26	36528	5952	0.0
lʲ v	0.0	40	20272	27065	0.0
j b	0.0	31	36528	9086	0.0
lʲ b	0.0	23	20272	9086	0.0
ts m	0.0	23	14887	12403	0.0
j kʲ	0.0	24	36528	5776	0.0
l f	0.0	15	14418	5763	0.0
l vʲ	0.0	17	14418	7473	0.0
j t	0.0	55	36528	31043	0.0
l p	0.0	30	14418	24288	0.0
l ɡʲ	0.0	9	14418	2211	0.004
tɕ tʲ	0.0	33	12898	33763	0.0
tɕ m	0.0	20	12898	12403	0.0
t f	0.0	21	31043	5763	0.0
ʐ ɡ	0.0	11	5455	9126	0.001
lʲ d	0.0	24	20272	11859	0.0
ɡ ɡ	0.0	14	9126	9126	0.0
x f	0.0	8	4756	5763	0.008
lʲ pʲ	0.0	17	20272	6309	0.0
s j	0.0	55	36779	36528	0.0
b b	0.0	13	9086	9086	0.0
ts tʲ	0.0	32	14887	33763	0.0
m l	0.0	19	12403	14418	0.0
zʲ b	0.0	6	2018	9086	0.031
j ɣ	0.0	2	36528	56	0.5
l ɕ	0.0	10	14418	3580	0.002
ʐ r	0.0	19	5455	36443	0.0
k kʲ	0.0	18	30932	5776	0.0
f mʲ	0.0	8	5763	6233	0.008
m v	0.0	24	12403	27065	0.0
l xʲ	0.0	4	14418	650	0.125
v ɡ	0.0	20	27065	9126	0.0
rʲ mʲ	0.0	13	16772	6233	0.0
lʲ zʲ	0.0	8	20272	2018	0.008
x ʂ	0.0	7	4756	6618	0.016
ɡ dʲ	0.0	9	9126	5952	0.004
lʲ kʲ	0.0	13	20272	5776	0.0
ʂ tɕ	0.0	11	6618	12898	0.001
m sʲ	0.0	9	12403	4787	0.004
m ɡ	0.0	12	12403	9126	0.0
j tʲ	0.0	38	36528	33763	0.0
n v	0.0	34	37273	27065	0.0
tɕ v	0.0	20	12898	27065	0.0
m z	0.0	14	12403	13880	0.0
j lʲ	0.0	29	36528	20272	0.0
j l	0.0	24	36528	14418	0.0
v ɡʲ	0.0	8	27065	2211	0.008
l ʂ	0.0	10	14418	6618	0.002
v b	0.0	16	27065	9086	0.0
tɕ vʲ	0.0	10	12898	7473	0.002
m zʲ	0.0	5	12403	2018	0.062
lʲ p	0.0	22	20272	24288	0.0
tɕ ʂ	0.0	9	12898	6618	0.004
l x	0.0	8	14418	4756	0.008
v v	0.0	26	27065	27065	0.0
l pʲ	0.0	9	14418	6309	0.004
l v	0.0	18	14418	27065	0.0
j f	0.0	13	36528	5763	0.0
t xʲ	0.0	4	31043	650	0.125
ɡ b	0.0	8	9126	9086	0.008
fʲ j	0.0	7	1740	36528	0.016
ts lʲ	0.0	15	14887	20272	0.0
ɡ bʲ	0.0	5	9126	3704	0.062
x x	0.0	4	4756	4756	0.125
ʐ rʲ	0.0	8	5455	16772	0.008
j x	0.0	11	36528	4756	0.001
f ɡ	0.0	6	5763	9126	0.031
v ʐ	0.0	10	27065	5455	0.002
j r	0.0	30	36528	36443	0.0
j zʲ	0.0	7	36528	2018	0.016
dʲ m	0.0	7	5952	12403	0.016
l fʲ	0.0	4	14418	1740	0.125
n r	0.0	29	37273	36443	0.0
j ɡ	0.0	14	36528	9126	0.0
x kʲ	0.0	4	4756	5776	0.125
ʂ rʲ	0.0	8	6618	16772	0.008
k x	0.0	9	30932	4756	0.004
nʲ ɡ	0.0	9	16518	9126	0.004
x pʲ	0.0	4	4756	6309	0.125
m vʲ	0.0	7	12403	7473	0.016
k mʲ	0.0	10	30932	6233	0.002
k m	0.0	14	30932	12403	0.0
lʲ x	0.0	7	20272	4756	0.016
t j	0.0	24	31043	36528	0.0
n b	0.0	13	37273	9086	0.0
rʲ k	0.0	16	16772	30932	0.0
b zʲ	0.0	3	9086	2018	0.25
v bʲ	0.0	7	27065	3704	0.016
ʐ z	0.0	6	5455	13880	0.031
ʐ mʲ	0.0	4	5455	6233	0.125
dʲ b	0.0	5	5952	9086	0.062
p f	0.0	8	24288	5763	0.008
x sʲ	0.0	3	4756	4787	0.25
x ts	0.0	5	4756	14887	0.062
