segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[c|ʈ] [s|z|ɕ|ʂ|ʐ|ʑ]	-ant,-strid,-voice +strid	0.0035	28615	28615	131976	0.0
[c|ɖ|ɟ|ʈ] [f|s|x|ɕ|ʂ]	-ant,-strid +cont,-voice	0.0035	28646	30974	123972	0.0
[c|ʈ] [c|j|ɕ|ɖ|ɟ|ʂ|ʈ|ʐ|ʑ]	-ant,-strid,-voice -ant	0.0034	28615	28615	134714	0.0
[ɖ|ɟ] [ʐ|ʑ]	+voice,-ant,-strid +strid,+voice,-ant	0.0034	2315	2359	10698	0.0
[c|ɕ|ɟ|ʑ] [c|ɕ]	-back,-son -back,-voice	0.0034	21013	48328	43037	0.0
[c|ɕ] [c|ɕ|ɟ|ʑ]	-back,-voice -back,-son	0.0034	20965	43037	48328	0.0
[c|ɕ|ɟ|ʑ] [c|j|ɕ|ɟ|ʑ]	-back,-son -ant,-back	0.0034	29568	48328	85638	0.0
[c] [c|ɕ|ʂ|ʈ]	-back,-strid,-voice -ant,-voice	0.0034	17756	17761	84347	0.0
[c|t|ʈ] [f|s|x|z|ɕ|ʂ|ʐ|ʑ]	-strid,-voice +cont,-son	0.0034	52467	85286	153721	0.0
[c|d|t|ɖ|ɟ|ʈ] [f|s|x|ɕ|ʂ]	-strid +cont,-voice	0.0034	52564	106266	123972	0.0
[c] [c|j|ɕ|ɟ|ʑ]	-back,-strid,-voice -ant,-back	0.0034	17761	17761	85638	0.0
[c|ɟ] [c|ɕ|ɖ|ɟ|ʂ|ʈ|ʐ|ʑ]	-back,-strid -ant,-son	0.0033	19848	19848	97404	0.0
[c|ɖ|ɟ|ʈ] [f|s|x|z|ɕ|ʂ|ʐ|ʑ]	-ant,-strid +cont,-son	0.0033	30974	30974	153721	0.0
[c|d|t|ɖ|ɟ|ʈ] [f|s|x|z|ɕ|ʂ|ʐ|ʑ]	-strid +cont,-son	0.0032	56868	106266	153721	0.0
[c|k|p|t|ʈ] [f|s|x|ɕ|ʂ]	-cont,-voice +cont,-voice	0.0032	60843	152638	123972	0.0
[ʈ] [ɕ|ʂ]	+back,-strid,-voice +strid,-ant,-voice	0.0032	10846	10854	55732	0.0
[c|ɖ|ɟ|ʈ] [j|ɕ|ʑ]	-ant,-strid +cont,-back	0.0031	19848	30974	65790	0.0
