segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[c|k|p|s|t|x|ʃ] [s|s'|ɬ'|ʃ|ʃ']	-cg,-sonorant,-voice +strident,-voice	0.0021	239	641	397	0.0
[c|t|t'|x] [c|s|s'|t|t'|ɬ'|ʃ|ʃ']	-sonorant,-strident,-voice +coronal,-sonorant,-voice	0.0021	239	346	736	0.0
[t] [c|k|k'|p|s|s'|t|t'|x|ɬ|ɬ'|ʃ|ʃ']	+anterior,-cg,-lateral,-strident,-voice -voice	0.0021	247	300	908	0.0
[c|t] [c|k|k'|p|s|s'|t|t'|x|ɬ|ɬ'|ʃ|ʃ']	-cg,-lateral,-voice -voice	0.0021	247	300	908	0.0
[t|t'|ɬ] [s|s'|z|ɬ'|ʃ|ʃ'|ʒ]	+anterior,-strident,-voice +strident	0.0021	239	393	651	0.0
[c|t|t'|x] [c|s|s'|t|t'|ɬ|ɬ'|ʃ|ʃ']	-sonorant,-strident,-voice +coronal,-voice	0.0021	247	346	790	0.0
[t] [c|k|k'|p|s|s'|t|t'|x|ɬ'|ʃ|ʃ']	+anterior,-cg,-lateral,-strident,-voice -sonorant,-voice	0.0021	239	300	854	0.0
[c|t] [c|k|k'|p|s|s'|t|t'|x|ɬ'|ʃ|ʃ']	-cg,-lateral,-voice -sonorant,-voice	0.0021	239	300	854	0.0
[d|s'|t|t'] [s|s'|ɬ'|ʃ|ʃ']	+anterior,-continuant,-lateral +strident,-voice	0.0021	239	647	397	0.0
[c|d|s'|t|t'|ɟ] [s|s'|ɬ'|ʃ|ʃ']	-continuant,-lateral +strident,-voice	0.0021	239	647	397	0.0
[d|t|t'] [s|s'|z|ɬ'|ʃ|ʃ'|ʒ]	+anterior,-lateral,-strident +strident	0.002	296	607	651	0.0
[c|d|t|t'|ɟ] [s|s'|z|ɬ'|ʃ|ʃ'|ʒ]	-lateral,-strident +strident	0.002	296	607	651	0.0
[c|t|x] [s'|ɬ']	-cg,-sonorant,-strident,-voice +anterior,+cg,+strident	0.002	68	307	68	0.0
