segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[b|d|f|k|l|m|n|p|r|s|t|x|z|ɡ|ɣ|ʂ|ʐ] [d|dʲ|j|l|lʲ|n|nʲ|r|rʲ|s|sʲ|t|tʲ|z|zʲ|ɕ|ʂ|ʐ|ʑ]	+back,+cons +cor	0.001	111193	332850	389533	0.0
[t] [f|fʲ|l|lʲ|r|rʲ|s|sʲ|x|xʲ|z|zʲ|ɕ|ɣ|ʂ|ʐ|ʑ]	+back,-strid,-voice +cons,+cont	0.001	33524	58828	201777	0.0
[f|k|p|s|t|x|ʂ] [d|dʲ|l|lʲ|n|nʲ|r|rʲ|s|sʲ|t|tʲ|z|zʲ|ɕ|ʂ|ʐ|ʑ]	+back,-voice +cons,+cor	0.001	78116	182851	353005	0.0
[d|s|t|z] [f|fʲ|k|kʲ|p|pʲ|s|sʲ|t|tʲ|x|xʲ|ɕ|ʂ]	+ant,+back,-son -voice	0.001	56992	136233	252354	0.0
[b|d|k|p|t|ɡ] [j|l|lʲ|r|rʲ|s|sʲ|z|zʲ|ɕ|ʂ|ʐ|ʑ]	+back,-cont,-son +cont,+cor	0.001	55339	144119	225340	0.0
[f|k|p|s|t|x|ʂ] [f|fʲ|k|kʲ|p|pʲ|s|sʲ|t|tʲ|x|xʲ|ɕ|ʂ]	+back,-voice -voice	0.0009	65917	182851	252354	0.0
[d|l|n|r|s|t|z] [b|bʲ|d|dʲ|f|fʲ|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	+ant,+back +cons	0.0009	100262	224367	476038	0.0
[b|bʲ|d|dʲ|f|fʲ|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ] [b|bʲ|d|dʲ|f|fʲ|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	+cons +cons	0.0009	145826	476038	476038	0.0
[d|s|t|z|ʂ|ʐ] [b|bʲ|d|dʲ|f|fʲ|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	+back,+cor,-son +cons	0.0009	81361	148306	476038	0.0
[d|t] [fʲ|sʲ|xʲ|zʲ|ɕ|ʑ]	+back,-strid +cont,-back,-son	0.0009	13035	70687	25678	0.0
[d|s|t|z] [b|bʲ|d|dʲ|f|fʲ|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	+ant,+back,-son +cons	0.0009	77913	136233	476038	0.0
[d|s|t|z] [b|bʲ|d|dʲ|f|fʲ|j|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|v|vʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	+ant,+back,-son -syll	0.0009	83433	136233	547104	0.0
[d|s|t|z|ʂ|ʐ] [b|bʲ|d|dʲ|f|fʲ|j|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|v|vʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	+back,+cor,-son -syll	0.0009	87000	148306	547104	0.0
[d|l|n|r|s|t|z|ʂ|ʐ] [b|bʲ|d|dʲ|f|fʲ|j|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|v|vʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	+back,+cor -syll	0.0009	109829	236440	547104	0.0
[s|t] [b|bʲ|d|dʲ|f|fʲ|k|kʲ|p|pʲ|s|sʲ|t|tʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	+ant,+back,-voice -son	0.0009	56997	110494	315706	0.0
[b|d|f|k|l|m|n|p|r|s|t|v|x|z|ɡ|ɣ|ʂ|ʐ] [d|dʲ|j|l|lʲ|n|nʲ|r|rʲ|s|sʲ|t|tʲ|z|zʲ|ɕ|ʂ|ʐ|ʑ]	+back,-syll +cor	0.0009	114236	359915	389533	0.0
[s|t|ʂ] [s|sʲ|ɕ|ʂ]	+back,+cor,-voice +strid,-voice	0.0009	29439	117112	79549	0.0
[t|tʲ] [f|fʲ|s|sʲ|x|xʲ|ɕ|ʂ]	-strid,-voice +cont,-voice	0.0009	28178	92591	92458	0.0
[d|t] [l|lʲ|r|rʲ|s|sʲ|z|zʲ|ɕ|ʂ|ʐ|ʑ]	+back,-strid +cons,+cont,+cor	0.0009	35139	70687	188812	0.0
[s|t|ʂ] [b|bʲ|d|dʲ|f|fʲ|k|kʲ|p|pʲ|s|sʲ|t|tʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	+back,+cor,-voice -son	0.0009	58431	117112	315706	0.0
[d|l|n|r|s|t|z] [b|bʲ|d|dʲ|f|fʲ|j|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|v|vʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	+ant,+back -syll	0.0009	106262	224367	547104	0.0
