segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[h|ʃ|f|s] [t|ʃ|ɟ|d|f|v|s|ʎ|j|r|p|ʒ|b|c|l|h|k|z|ɡ]	-voice,+cont -syll,-nas	0.0002	8947	44619	247838	0.0
[ʃ|ʎ|j|s|r|l|ʒ|z] [t|s]	+cor,+cont +ant,-voice	0.0002	6600	126446	47646	0.0
[ʎ|r|l] [d|z]	+cons,+son,-nas +voice,+ant	0.0002	3548	51401	33908	0.0
[r|z|s|l] [d|z]	+ant,+cont +voice,+ant	0.0002	4197	72168	33908	0.0
[h|ʃ|f|s] [t|ʃ|ɟ|d|f|v|s|ʎ|r|p|ʒ|b|c|l|h|k|z|ɡ]	-voice,+cont -nas,+cons	0.0002	8515	44619	227713	0.0
[t|ʃ|ɟ|d|s|c|ʒ|z] [t|c]	+cor,-son -strid,-voice	0.0002	5086	113263	32048	0.0
[t|ʃ|ɟ|d|s|c|ʒ|z] [t]	+cor,-son -strid,+ant,-voice	0.0002	5086	113263	32048	0.0
[t|ʃ|ɟ|d|ʎ|s|j|r|c|l|ʒ|z] [ɡ|ɟ|d|b]	+cor,-nas +voice,-cont	0.0002	7391	184789	41528	0.0
[z|s] [t|ɟ|d|p|b|c|k|ɡ]	+ant,+strid -nas,-cont	0.0002	4134	23407	102581	0.0
[ʃ|ʎ|f|v|s|j|r|l|h|ʒ|z] [t|ʃ|s|c]	-syll,+cont +cor,-voice	0.0002	8102	145257	63509	0.0
[ʎ|j|r|l] [ɟ|d|v|b|ʒ|z|ɡ]	-syll,+son,-nas +voice	0.0002	5979	71526	70640	0.0
[n|ɲ|m] [t|ʃ|f|s|r|p|z|b|ʒ|ɟ|d|v|ʎ|h|k|n|ɲ|c|l|m|ɡ]	+nas +cons	0.0002	10934	58956	286669	0.0
[n|ɲ|m] [t|ʃ|f|s|r|p|z|b|ʒ|ɟ|d|v|ʎ|h|k|n|j|ɲ|c|l|m|ɡ]	+nas -syll	0.0002	11305	58956	306794	0.0
