ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
t aʊ	0.0	97	36312	2353	0.0
l b	0.0	191	29129	11438	0.0
v aʊ	0.0	40	6212	2353	0.0
æ ð	0.0	28	12122	591	0.0
ɪ ɹ	0.0	417	58757	27149	0.0
oʊ ɪ	0.0	220	7748	58757	0.0
aʊ l	0.0	85	2353	29129	0.0
ə ð	0.0	58	55155	591	0.0
ɹ d	0.0	247	27149	21857	0.0
l m	0.0	211	29129	15436	0.0
ə h	0.0	145	55155	3880	0.0
m f	0.0	119	15436	9379	0.0
aɪ ð	0.0	21	7988	591	0.0
ʊ g	0.0	45	3384	6495	0.0
ɔ v	0.0	88	13555	6212	0.0
d ɑ	0.0	93	21857	4332	0.0
p ʃ	0.0	117	16398	9162	0.0
s aʊ	0.0	87	36515	2353	0.0
g ɛ	0.0	85	6495	12843	0.0
ɪ h	0.0	140	58757	3880	0.0
k ɔɪ	0.0	41	23887	819	0.0
u ɟ	0.0	41	4890	4002	0.0
k ɛ	0.0	159	23887	12843	0.0
ð ɛ	0.0	25	591	12843	0.0
u ɪ	0.0	153	4890	58757	0.0
d v	0.0	105	21857	6212	0.0
ɑ ʒ	0.0	39	4332	4332	0.0
ɹ ð	0.0	36	27149	591	0.0
u k	0.0	96	4890	23887	0.0
l k	0.0	233	29129	23887	0.0
t b	0.0	179	36312	11438	0.0
u g	0.0	49	4890	6495	0.0
ɛ z	0.0	141	12843	20631	0.0
aɪ ɪ	0.0	187	7988	58757	0.0
n l	0.0	267	32884	29129	0.0
n g	0.0	125	32884	6495	0.0
eɪ f	0.0	85	10637	9379	0.0
u c	0.0	31	4890	2730	0.0
aʊ ð	0.0	10	2353	591	0.002
z ɛ	0.0	138	20631	12843	0.0
t m	0.0	200	36312	15436	0.0
l p	0.0	184	29129	16398	0.0
s h	0.0	100	36515	3880	0.0
ŋ h	0.0	51	9515	3880	0.0
oʊ h	0.0	46	7748	3880	0.0
ʃ m	0.0	99	9162	15436	0.0
ɹ b	0.0	146	27149	11438	0.0
s j	0.0	107	36515	4601	0.0
ɪ oʊ	0.0	176	58757	7748	0.0
d b	0.0	130	21857	11438	0.0
g m	0.0	82	6495	15436	0.0
ɔɪ ə	0.0	55	819	55155	0.0
oʊ ɟ	0.0	45	7748	4002	0.0
w oʊ	0.0	49	4774	7748	0.0
n ɑ	0.0	96	32884	4332	0.0
k aɪ	0.0	111	23887	7988	0.0
g u	0.0	45	6495	4890	0.0
j ɔ	0.0	63	4601	13555	0.0
d h	0.0	73	21857	3880	0.0
z j	0.0	76	20631	4601	0.0
ð d	0.0	28	591	21857	0.0
ɑ ʃ	0.0	49	4332	9162	0.0
θ j	0.0	21	1594	4601	0.0
k b	0.0	128	23887	11438	0.0
n ɔɪ	0.0	40	32884	819	0.0
s ɑ	0.0	96	36515	4332	0.0
l ʊ	0.0	75	29129	3384	0.0
l s	0.0	246	29129	36515	0.0
d m	0.0	138	21857	15436	0.0
n w	0.0	94	32884	4774	0.0
g aɪ	0.0	54	6495	7988	0.0
b ɟ	0.0	50	11438	4002	0.0
ŋ b	0.0	77	9515	11438	0.0
ʃ ɹ	0.0	116	9162	27149	0.0
p c	0.0	49	16398	2730	0.0
ʊ ɹ	0.0	70	3384	27149	0.0
θ f	0.0	28	1594	9379	0.0
k ʊ	0.0	65	23887	3384	0.0
n b	0.0	140	32884	11438	0.0
ʒ eɪ	0.0	49	4332	10637	0.0
f ɔɪ	0.0	20	9379	819	0.0
ŋ θ	0.0	28	9515	1594	0.0
ʒ oʊ	0.0	41	4332	7748	0.0
d u	0.0	73	21857	4890	0.0
g d	0.0	84	6495	21857	0.0
w u	0.0	34	4774	4890	0.0
v n	0.0	100	6212	32884	0.0
eɪ g	0.0	58	10637	6495	0.0
ʒ m	0.0	57	4332	15436	0.0
n m	0.0	157	32884	15436	0.0
ʃ w	0.0	46	9162	4774	0.0
g aʊ	0.0	27	6495	2353	0.0
i w	0.0	39	6732	4774	0.0
l ɟ	0.0	73	29129	4002	0.0
i ə	0.0	130	6732	55155	0.0
ɑ ɹ	0.0	73	4332	27149	0.0
ŋ p	0.0	84	9515	16398	0.0
aɪ ɟ	0.0	38	7988	4002	0.0
ʒ ɑ	0.0	29	4332	4332	0.0
eɪ c	0.0	36	10637	2730	0.0
ʃ b	0.0	68	9162	11438	0.0
θ æ	0.0	29	1594	12122	0.0
n aʊ	0.0	58	32884	2353	0.0
ʃ l	0.0	106	9162	29129	0.0
m ɔɪ	0.0	23	15436	819	0.0
l h	0.0	68	29129	3880	0.0
ʃ n	0.0	111	9162	32884	0.0
b d	0.0	101	11438	21857	0.0
ɹ l	0.0	179	27149	29129	0.0
l c	0.0	56	29129	2730	0.0
ɔɪ t	0.0	34	819	36312	0.0
