ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
ɡ ɛ̃	0.0	10	2124	199	0.002
ɔ ɡ	0.0	29	1676	2124	0.0
e w	0.0	8	913	300	0.008
ɛ̃ f	0.0	4	199	345	0.125
i ɡ	0.0	29	1702	2124	0.0
u p	0.0	16	1820	605	0.0
p ĩ	0.0	4	605	115	0.125
f ĩ	0.0	3	345	115	0.25
ɛ̃ t	0.0	6	199	800	0.031
a p	0.0	24	4385	605	0.0
u b	0.0	27	1820	1855	0.0
m ɛ	0.0	23	1275	1923	0.0
k ũ	0.0	6	1864	92	0.031
s ĩ	0.0	4	683	115	0.125
h ɔ̃	0.0	2	112	176	0.5
ɲ u	0.0	7	134	1820	0.016
ĩ ɔ̃	0.0	2	115	176	0.5
z ɛ̃	0.0	5	643	199	0.062
u z	0.0	15	1820	643	0.0
ɔ d	0.0	17	1676	908	0.0
u ɡ	0.0	27	1820	2124	0.0
ɔ̃ n	0.0	6	176	1116	0.031
ɔ̃ t	0.0	5	176	800	0.062
v a	0.0	10	130	4385	0.002
ɔ̃ v	0.0	2	176	130	0.5
o w	0.0	9	1597	300	0.004
i d	0.0	16	1702	908	0.0
v ɔ	0.0	6	130	1676	0.031
i a	0.0	35	1702	4385	0.0
ã t	0.0	6	275	800	0.031
o j	0.0	9	1597	324	0.004
z ũ	0.0	3	643	92	0.25
ɔ̃ k	0.0	7	176	1864	0.016
u w	0.0	9	1820	300	0.004
w ũ	0.0	2	300	92	0.5
ɔ f	0.0	9	1676	345	0.004
i b	0.0	21	1702	1855	0.0
ɛ̃ k	0.0	7	199	1864	0.016
ɛ j	0.0	9	1923	324	0.004
ɔ w	0.0	8	1676	300	0.008
ũ t	0.0	3	92	800	0.25
i ɔ̃	0.0	6	1702	176	0.031
ã a	0.0	12	275	4385	0.0
ã ã	0.0	3	275	275	0.25
ũ ũ	0.0	1	92	92	1.0
i p	0.0	11	1702	605	0.001
ɓ ɔ̃	0.0	3	447	176	0.25
i z	0.0	11	1702	643	0.001
ã ɔ	0.0	7	275	1676	0.016
r k	0.0	5	127	1864	0.062
ŋ u	0.0	16	1349	1820	0.0
m ã	0.0	6	1275	275	0.031
ũ i	0.0	4	92	1702	0.125
ɛ̃ ɛ̃	0.0	2	199	199	0.5
ɛ v	0.0	5	1923	130	0.062
t ĩ	0.0	3	800	115	0.25
ĩ t	0.0	3	115	800	0.25
ã k	0.0	7	275	1864	0.016
ũ ĩ	0.0	1	92	115	1.0
ɗ ɛ̃	0.0	3	481	199	0.25
r t	0.0	3	127	800	0.25
h e	0.0	3	112	913	0.25
r a	0.0	7	127	4385	0.016
e ɡ	0.0	13	913	2124	0.0
ŋ i	0.0	14	1349	1702	0.0
ũ v	0.0	1	92	130	1.0
e z	0.0	7	913	643	0.016
ã n	0.0	5	275	1116	0.062
n ɔ̃	0.0	4	1116	176	0.125
h ĩ	0.0	1	112	115	1.0
o v	0.0	4	1597	130	0.125
b ĩ	0.0	4	1855	115	0.125
ĩ k	0.0	4	115	1864	0.125
a h	0.0	6	4385	112	0.031
ɛ̃ n	0.0	4	199	1116	0.125
ɔ̃ m	0.0	4	176	1275	0.125
ɲ i	0.0	4	134	1702	0.125
j ɔ̃	0.0	2	324	176	0.5
n ĩ	0.0	3	1116	115	0.25
e m	0.0	9	913	1275	0.004
r u	0.0	4	127	1820	0.125
ɛ̃ w	0.0	2	199	300	0.5
f ɔ̃	0.0	2	345	176	0.5
e p	0.0	6	913	605	0.031
ã d	0.0	4	275	908	0.125
ũ s	0.0	2	92	683	0.5
ɛ̃ j	0.0	2	199	324	0.5
ã ɡ	0.0	6	275	2124	0.031
ɔ̃ d	0.0	3	176	908	0.25
ɛ b	0.0	14	1923	1855	0.0
ɔ̃ h	0.0	1	176	112	1.0
ã w	0.0	2	275	300	0.5
ɗ ɔ̃	0.0	2	481	176	0.5
ɔ̃ a	0.0	6	176	4385	0.031
a u	0.0	19	4385	1820	0.0
ã j	0.0	2	275	324	0.5
r o	0.0	3	127	1597	0.25
u h	0.0	3	1820	112	0.25
ɛ a	0.0	19	1923	4385	0.0
ɲ ɔ̃	0.0	1	134	176	1.0
r i	0.0	3	127	1702	0.25
o b	0.0	11	1597	1855	0.001
m ɔ̃	0.0	3	1275	176	0.25
ŋ e	0.0	7	1349	913	0.016
ɛ̃ ɡ	0.0	4	199	2124	0.125
u ɲ	0.0	3	1820	134	0.25
ĩ ɡ	0.0	3	115	2124	0.25
ɓ ã	0.0	2	447	275	0.5
ã h	0.0	1	275	112	1.0
ɔ̃ ɔ̃	0.0	1	176	176	1.0
ɔ b	0.0	10	1676	1855	0.002
ã u	0.0	4	275	1820	0.125
ũ f	0.0	1	92	345	1.0
ã b	0.0	4	275	1855	0.125
ã ɛ	0.0	4	275	1923	0.125
ĩ w	0.0	1	115	300	1.0
r w	0.0	1	127	300	1.0
ɔ p	0.0	5	1676	605	0.062
ɓ ũ	0.0	1	447	92	1.0
ã z	0.0	2	275	643	0.5
ɗ ũ	0.0	1	481	92	1.0
ɛ p	0.0	5	1923	605	0.062
