segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[s|ɹ|g|p|ŋ|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c] [s|ʒ|l|n|ɟ|t|ɹ|d|c|z|ð|ʃ|θ]	-syllabic +coronal	0.0018	75935	338903	226888	0.0
[c|ɟ] [ð|v|ʒ|z]	-continuant,-anterior +continuant,+voice	0.0018	4002	6732	31766	0.0
[d|ɟ] [ʒ|ɟ]	+voice,-strident,-continuant +voice,-anterior	0.0018	4004	25859	8334	0.0
[c|ɟ] [s|ʒ|h|z|ð|ʃ|f|v|θ]	-continuant,-anterior +continuant,-sonorant	0.0017	6732	6732	92296	0.0
[ʒ|ɟ|ɹ|c|ʃ] [ʒ|ʃ]	-anterior +strident,-anterior	0.0017	6819	47375	13494	0.0
[ð|d|ɟ] [ʒ|ɟ]	+voice,-strident +voice,-anterior	0.0017	4004	26450	8334	0.0
[m|ŋ|n|ɟ|t|k|b|d|c|g|p] [s|ʒ|l|n|ɟ|t|ɹ|d|c|z|ð|ʃ|θ]	-continuant +coronal	0.0017	54557	180954	226888	0.0
[ɹ|c|ɟ] [ʒ|ʃ|c|ɟ]	-strident,-anterior -sonorant,-anterior	0.0017	7025	33881	20226	0.0
[ʒ|ɟ|d|z|ð] [ʒ]	+voice,+coronal +voice,+strident,-anterior	0.0017	4002	51413	4332	0.0
[m|ŋ|n|ɟ|t|k|b|d|c|g|p] [s|ʒ|l|ɹ|z|ð|ʃ|θ]	-continuant +continuant,+coronal	0.0017	40902	180954	129103	0.0
[ɟ|t|k|b|d|c|g|p] [s|ʒ|l|j|ɹ|h|z|ð|ʃ|f|v|w|θ]	-sonorant,-continuant +continuant,-syllabic	0.0017	37305	123119	157949	0.0
[m|ŋ|n|ɟ|t|k|b|d|c|g|p] [s|ʒ|l|ɹ|h|z|ð|ʃ|f|v|θ]	-continuant +continuant,+consonantal	0.0016	43081	180954	148574	0.0
[ʃ|c] [ʃ]	-voice,-anterior +continuant,-voice,-anterior	0.0016	2734	11892	9162	0.0
[m|ŋ|n|ɟ|t|k|b|d|c|g|p] [s|ɹ|g|ŋ|p|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c]	-continuant +consonantal	0.0016	63595	180954	329528	0.0
[c] [ʒ|ʃ|ɹ]	-voice,-continuant,-anterior +continuant,-anterior	0.0016	2730	2730	40643	0.0
[ɟ|t|k|b|d|c|g|p] [s|ʒ|l|ɹ|z|ð|ʃ|θ]	-sonorant,-continuant +continuant,+coronal	0.0016	32622	123119	129103	0.0
[s|ɹ|g|ŋ|p|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c] [s|ʒ|l|j|ɹ|h|z|ð|ʃ|f|v|w|θ]	+consonantal +continuant,-syllabic	0.0016	58621	329528	157949	0.0
