ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
z g	0.0	7	20631	6495	0.016
ɟʒ g	0.0	3	4002	6495	0.25
ɟʒ ɹ	0.0	6	4002	27149	0.031
cʃ j	0.0	2	2728	4601	0.5
d ð	0.0	2	21857	591	0.5
k ɟʒ	0.0	5	23887	4002	0.062
v cʃ	0.0	2	6212	2728	0.5
ʃ cʃ	0.0	2	6434	2728	0.5
b θ	0.0	2	11438	1594	0.5
z n	0.0	12	20631	32884	0.0
ɹ w	0.0	5	27149	4774	0.062
b p	0.0	6	11438	16398	0.031
f ð	0.0	1	9379	591	1.0
ð f	0.0	1	591	9379	1.0
v h	0.0	2	6212	3880	0.5
ɟʒ v	0.0	2	4002	6212	0.5
s v	0.0	6	36515	6212	0.031
v p	0.0	4	6212	16398	0.125
ɟʒ ʃ	0.0	2	4002	6434	0.5
ŋ cʃ	0.0	2	9515	2728	0.5
g ɟʒ	0.0	2	6495	4002	0.5
b cʃ	0.0	2	11438	2728	0.5
ɟʒ n	0.0	4	4002	32884	0.125
b g	0.0	3	11438	6495	0.25
θ d	0.0	2	1594	21857	0.5
ɟʒ t	0.0	4	4002	36312	0.125
z ɟʒ	0.0	3	20631	4002	0.25
f ɟʒ	0.0	2	9379	4002	0.5
ŋ ɟʒ	0.0	2	9515	4002	0.5
ʃ g	0.0	2	6434	6495	0.5
m cʃ	0.0	2	15436	2728	0.5
ŋ j	0.0	2	9515	4601	0.5
m g	0.0	3	15436	6495	0.25
f v	0.0	2	9379	6212	0.5
ʃ s	0.0	4	6434	36515	0.125
ŋ v	0.0	2	9515	6212	0.5
z t	0.0	7	20631	36312	0.016
ð ɹ	0.0	1	591	27149	1.0
l ð	0.0	1	29129	591	1.0
ð n	0.0	1	591	32884	1.0
ð t	0.0	1	591	36312	1.0
d ɟʒ	0.0	2	21857	4002	0.5
j w	0.0	1	4601	4774	1.0
v ɟʒ	0.0	1	6212	4002	1.0
p v	0.0	2	16398	6212	0.5
b b	0.0	2	11438	11438	0.5
z ʃ	0.0	2	20631	6434	0.5
z s	0.0	4	20631	36515	0.125
b ʃ	0.0	1	11438	6434	1.0
ɹ j	0.0	1	27149	4601	1.0
k v	0.0	1	23887	6212	1.0
