segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[l|n|ð|z|d|s|θ|t] [l|ɹ|ʒ|ð|z|d|s|ʃ|θ|t]	+anterior -nasal,+coronal	0.0017	47342	186245	194004	0.0
[l|n|ð|z|d|s|θ|t] [w|ɹ|m|j|g|l|p|ʒ|ŋ|f|θ|b|n|v|ð|z|d|s|t|k|h|ʃ]	+anterior -syllabic	0.0017	62356	186245	338903	0.0
[b|p|d|k|t|g] [l|ɹ|v|ð|ʒ|z|s|ʃ|h|f|θ]	-continuant,-sonorant +consonantal,+continuant	0.0017	33535	123119	148574	0.0
[b|l|n|p|ɹ|v|ð|ʒ|z|d|s|m|ŋ|ʃ|k|h|f|θ|t|g] [ʒ|ð|z|d|s|ʃ|θ|t]	+consonantal +coronal,-sonorant	0.0017	52774	329528	137726	0.0
[l|n|ð|z|d|s|θ|t] [b|p|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g]	+anterior -sonorant	0.0017	49310	186245	215415	0.0
[b|l|p|ɹ|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [w|ɹ|m|j|g|l|p|ʒ|ŋ|f|θ|b|n|v|ð|z|d|s|t|k|h|ʃ]	-nasal,+consonantal -syllabic	0.0017	74444	271693	338903	0.0
[b|p|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [l|ɹ|ʒ|ð|z|d|s|ʃ|θ|t]	-sonorant -nasal,+coronal	0.0017	49954	215415	194004	0.0
[w|ɹ|m|j|g|l|p|ʒ|ŋ|f|θ|b|n|v|ð|z|d|s|t|k|h|ʃ] [ʒ|ð|z|d|s|ʃ|θ|t]	-syllabic +coronal,-sonorant	0.0017	52774	338903	137726	0.0
[b|l|p|ɹ|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [l|ɹ|ʒ|ð|z|d|s|ʃ|θ|t]	-nasal,+consonantal -nasal,+coronal	0.0016	55715	271693	194004	0.0
[l|n|ɹ|ʒ|ð|z|d|s|ʃ|θ|t] [b|l|p|ɹ|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g]	+coronal -nasal,+consonantal	0.0016	60090	226888	271693	0.0
[l|n|ɹ|ʒ|ð|z|d|s|ʃ|θ|t] [w|ɹ|m|j|g|l|p|ʒ|ŋ|f|θ|b|n|v|ð|z|d|s|t|k|h|ʃ]	+coronal -syllabic	0.0016	66890	226888	338903	0.0
