segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[b|z|ɣ|ʂ|s|ʐ|ɡ|t|x|f|k|d|p] [r|z|ʂ|s|sʲ|zʲ|ʐ|lʲ|rʲ|nʲ|t|ʑ|j|d|tʲ|ɕ|n|l|dʲ]	-son,+back +cor	0.001	93444	232313	389533	0.0
[ʂ|s|t|x|f|k|p] [mʲ|b|ɣ|s|sʲ|v|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|vʲ|j|d|n]	-voice,+back -syll	0.001	98170	182851	547104	0.0
[n|d|t] [ʑ|ɕ]	-cont,+back,+ant -back,-ant,+strid	0.001	13062	107960	16483	0.0
[n|d|t] [ɕ]	-cont,+back,+ant -back,-ant,-voice	0.001	13057	107960	16478	0.0
[r|z|ʂ|s|ʐ|t|d|l|n] [mʲ|b|ɣ|s|sʲ|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|d|n]	+cor,+back +cons	0.001	103710	236440	476038	0.0
[t|k|p] [ɕ|ʂ|s|sʲ]	-cont,-voice,+back -voice,+strid	0.001	29442	114048	79549	0.0
[r|b|z|ɣ|ʂ|s|ʐ|m|ɡ|t|x|f|k|d|l|n|p] [r|z|ʂ|s|sʲ|zʲ|ʐ|lʲ|rʲ|nʲ|t|ʑ|j|d|tʲ|ɕ|n|l|dʲ]	+back,+cons +cor	0.001	111193	332850	389533	0.0
[t] [xʲ|z|r|ɣ|ʂ|s|sʲ|zʲ|ʐ|lʲ|rʲ|ʑ|x|f|ɕ|l|fʲ]	-strid,-voice,+back +cont,+cons	0.001	33524	58828	201777	0.0
[ʂ|s|t|x|f|k|p] [r|z|ʂ|s|sʲ|zʲ|ʐ|lʲ|rʲ|nʲ|t|ʑ|d|tʲ|ɕ|n|l|dʲ]	-voice,+back +cor,+cons	0.001	78116	182851	353005	0.0
[z|s|d|t] [xʲ|ʂ|s|sʲ|t|x|f|k|kʲ|pʲ|tʲ|ɕ|fʲ|p]	+ant,-son,+back -voice	0.001	56992	136233	252354	0.0
[b|ɡ|t|k|d|p] [r|z|ʂ|zʲ|s|sʲ|ʐ|lʲ|rʲ|ʑ|j|ɕ|l]	-son,-cont,+back +cor,+cont	0.001	55339	144119	225340	0.0
[ʂ|s|t|x|f|k|p] [xʲ|ʂ|s|sʲ|t|x|f|k|kʲ|pʲ|tʲ|ɕ|fʲ|p]	-voice,+back -voice	0.0009	65917	182851	252354	0.0
[r|z|s|t|d|l|n] [mʲ|b|ɣ|s|sʲ|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|d|n]	+back,+ant +cons	0.0009	100262	224367	476038	0.0
[mʲ|b|ɣ|s|sʲ|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|d|n] [mʲ|b|ɣ|s|sʲ|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|d|n]	+cons +cons	0.0009	145826	476038	476038	0.0
[z|ʂ|s|ʐ|t|d] [mʲ|b|ɣ|s|sʲ|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|d|n]	+cor,-son,+back +cons	0.0009	81361	148306	476038	0.0
[d|t] [xʲ|zʲ|sʲ|ʑ|ɕ|fʲ]	-strid,+back -back,+cont,-son	0.0009	13035	70687	25678	0.0
[z|s|d|t] [mʲ|b|ɣ|s|sʲ|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|d|n]	+ant,-son,+back +cons	0.0009	77913	136233	476038	0.0
[z|s|d|t] [mʲ|b|ɣ|s|sʲ|v|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|vʲ|j|d|n]	+ant,-son,+back -syll	0.0009	83433	136233	547104	0.0
[z|ʂ|s|ʐ|t|d] [mʲ|b|ɣ|s|sʲ|v|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|vʲ|j|d|n]	+cor,-son,+back -syll	0.0009	87000	148306	547104	0.0
[r|z|ʂ|s|ʐ|t|d|l|n] [mʲ|b|ɣ|s|sʲ|v|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|vʲ|j|d|n]	+cor,+back -syll	0.0009	109829	236440	547104	0.0
[s|t] [b|ɣ|s|sʲ|t|f|tʲ|fʲ|dʲ|xʲ|z|ʑ|bʲ|kʲ|pʲ|ʂ|zʲ|ʐ|k|ɕ|p|ɡ|ɡʲ|x|d]	-voice,+ant,+back -son	0.0009	56997	110494	315706	0.0
[r|b|z|ɣ|ʂ|s|ʐ|v|m|ɡ|t|x|f|k|d|l|n|p] [r|z|ʂ|s|sʲ|zʲ|ʐ|lʲ|rʲ|nʲ|t|ʑ|j|d|tʲ|ɕ|n|l|dʲ]	-syll,+back +cor	0.0009	114236	359915	389533	0.0
[ʂ|s|t] [ɕ|ʂ|s|sʲ]	+cor,-voice,+back -voice,+strid	0.0009	29439	117112	79549	0.0
[tʲ|t] [xʲ|ʂ|s|sʲ|x|f|ɕ|fʲ]	-strid,-voice +cont,-voice	0.0009	28178	92591	92458	0.0
[d|t] [r|z|ʂ|zʲ|s|sʲ|ʐ|lʲ|rʲ|ʑ|ɕ|l]	-strid,+back +cor,+cont,+cons	0.0009	35139	70687	188812	0.0
[ʂ|s|t] [b|ɣ|s|sʲ|t|f|tʲ|fʲ|dʲ|xʲ|z|ʑ|bʲ|kʲ|pʲ|ʂ|zʲ|ʐ|k|ɕ|p|ɡ|ɡʲ|x|d]	+cor,-voice,+back -son	0.0009	58431	117112	315706	0.0
[r|z|s|t|d|l|n] [mʲ|b|ɣ|s|sʲ|v|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|vʲ|j|d|n]	+back,+ant -syll	0.0009	106262	224367	547104	0.0
[s|t] [ɕ]	-voice,+ant,+back -back,-ant,-voice	0.0009	12923	110494	16478	0.0
[s|t] [ʑ|ɕ]	-voice,+ant,+back -back,-ant,+strid	0.0009	12923	110494	16483	0.0
[dʲ|d|tʲ|t] [ʑ|ɕ]	-strid -back,-ant,+strid	0.0009	12905	110402	16483	0.0
[dʲ|d|tʲ|t] [ɕ]	-strid -back,-ant,-voice	0.0009	12900	110402	16478	0.0
[z|ʂ|s|ʐ|t|d] [xʲ|ʂ|s|sʲ|t|x|f|k|kʲ|pʲ|tʲ|ɕ|fʲ|p]	+cor,-son,+back -voice	0.0009	58425	148306	252354	0.0
[t|k|p] [ɕ]	-cont,-voice,+back -back,-ant,-voice	0.0009	13087	114048	16478	0.0
[t|k|p] [ʑ|ɕ]	-cont,-voice,+back -back,-ant,+strid	0.0009	13087	114048	16483	0.0
[mʲ|b|ɣ|s|sʲ|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|d|n] [mʲ|b|ɣ|s|sʲ|v|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|vʲ|j|d|n]	+cons -syll	0.0009	154001	476038	547104	0.0
[s|t] [z|ʂ|s|sʲ|zʲ|ʐ|t|ʑ|d|tʲ|ɕ|dʲ]	-voice,+ant,+back +cor,-son	0.0009	45808	110494	211309	0.0
[dʲ|d|tʲ|t] [ɕ|ʂ|s|sʲ]	-strid -voice,+strid	0.0009	28054	110402	79549	0.0
