segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[l|D|n|s|R|j|d|L|t|S|N|r|T] [s|p|h|g|d|b|t|k|f]	+cor -long,-son	0.001	43156	255915	231289	0.0
[n|p|k|g|d|b|t|m] [s|j|h|w|r|l|f]	-long,-cont +cont,-long	0.001	34314	230093	163315	0.0
[n|p|k|g|d|b|t|m] [l|D|n|s|R|j|d|L|t|S|N|r|T]	-long,-cont +cor	0.001	42802	230093	255915	0.0
[N|n] [d|s|t]	+cor,+nasal -long,+cor,-son	0.001	12539	40387	125391	0.0
[P|D|n|B|p|G|k|K|g|d|b|t|M|N|T|m] [l|D|n|s|R|j|d|L|t|S|N|r|T]	-cont +cor	0.001	43170	234650	255915	0.0
[l|D|n|s|R|d|L|t|S|N|r|T] [P|D|B|p|G|s|h|K|g|d|b|t|S|F|T|k|f]	+cons,+cor -son	0.001	43168	254551	237786	0.0
[s|R|h|t|l|m|p|N|r|F|n|G|K|g|d|b|M|T|k|f|P|D|B|L|S] [P|s|p|K|t|S|F|T|k|f]	+cons -voice	0.001	47941	392135	190670	0.0
[n] [D|s|d|t|S|T]	-long,+cor,+nasal +cor,-son	0.001	12550	39661	129307	0.0
[n|s|d|t|r|l] [n|s|p|j|k|h|g|d|w|b|t|r|l|m|f]	+cons,-long,+cor -long	0.001	54415	245081	393408	0.0
[n|p|k|g|d|b|t|m] [l|D|n|s|R|d|L|t|S|N|r|T]	-long,-cont +cons,+cor	0.001	42405	230093	254551	0.0
[P|D|n|B|p|G|k|K|g|d|b|t|M|N|T|m] [l|D|n|s|R|d|L|t|S|N|r|T]	-cont +cons,+cor	0.001	42773	234650	254551	0.0
[n|s|p|k|h|g|d|b|t|r|l|m|f] [p|g|d|b|t|k]	+cons,-long -long,-son,-cont	0.001	43442	378692	162719	0.0
[n|s|p|j|k|h|g|d|w|b|t|r|l|m|f] [P|s|p|K|t|S|F|T|k|f]	-long -voice	0.001	47928	393408	190670	0.0
[l|D|n|s|R|j|d|L|t|S|N|r|T] [P|D|B|p|G|s|h|K|g|d|b|t|S|F|T|k|f]	+cor -son	0.001	43168	255915	237786	0.0
[s|R|h|t|l|m|p|N|F|r|n|G|j|K|g|d|b|M|T|k|f|P|D|B|w|L|S] [s|p|t|k|f]	-syll -voice,-long	0.001	47931	406851	184446	0.0
[n|s|j|d|t|r|l] [n|s|p|j|k|h|g|d|w|b|t|r|l|m|f]	-long,+cor -long	0.001	54417	246445	393408	0.0
[n] [d|t]	-long,+cor,+nasal -long,+cor,-son,-cont	0.001	9239	39661	70780	0.0
[n|m] [s|p|h|g|d|b|t|k|f]	-long,+nasal -long,-son	0.001	21747	67374	231289	0.0
[r|n|l|m] [s|p|h|g|d|b|t|k|f]	+cons,-long,+son -long,-son	0.001	32117	147403	231289	0.0
[n|s|p|k|h|g|d|b|t|r|l|m|f] [P|D|B|p|G|K|g|d|b|t|T|k]	+cons,-long -son,-cont	0.001	43443	378692	165158	0.0
[N|n] [D|s|d|t|S|T]	+cor,+nasal +cor,-son	0.001	12550	40387	129307	0.0
[n] [d|D|T|t]	-long,+cor,+nasal +cor,-son,-cont	0.001	9239	39661	71440	0.0
[n] [p|g|d|b|t|k]	-long,+cor,+nasal -long,-son,-cont	0.001	13920	39661	162719	0.0
[n|s|d|t|r|l] [p|g|d|b|t|k]	+cons,-long,+cor -long,-son,-cont	0.001	34589	245081	162719	0.0
[P|D|n|B|p|G|k|K|g|d|b|t|M|N|T|m] [s|R|j|h|w|r|L|S|F|l|f]	-cont +cont,-syll	0.001	34784	234650	172201	0.0
[N|n] [d|t]	+cor,+nasal -long,+cor,-son,-cont	0.001	9239	40387	70780	0.0
[n|s|j|d|t|r|l] [p|g|d|b|t|k]	-long,+cor -long,-son,-cont	0.001	34589	246445	162719	0.0
[P|D|B|p|G|K|g|d|b|t|T|k] [s|j|h|w|r|l|f]	-son,-cont +cont,-long	0.001	28361	165158	163315	0.0
[n|p|k|g|d|b|t|m] [s|R|j|h|w|r|L|S|F|l|f]	-long,-cont +cont,-syll	0.001	34328	230093	172201	0.0
[n|s|d|t|r|l] [s|R|h|t|l|m|p|N|F|r|n|G|j|K|g|d|b|M|T|k|f|P|D|B|w|L|S]	+cons,-long,+cor -syll	0.001	54431	245081	406851	0.0
[l|D|n|s|R|d|L|t|S|N|r|T] [n|s|p|j|k|h|g|d|w|b|t|r|l|m|f]	+cons,+cor -long	0.001	54541	254551	393408	0.0
[n|s|d|t|r|l] [n|s|p|k|h|g|d|b|t|r|l|m|f]	+cons,-long,+cor +cons,-long	0.001	52471	245081	378692	0.0
[s|R|h|t|l|m|p|N|F|r|n|G|j|K|g|d|b|M|T|k|f|P|D|B|w|L|S] [P|s|p|K|t|S|F|T|k|f]	-syll -voice	0.001	47943	406851	190670	0.0
[s|R|h|t|l|m|p|N|r|F|n|G|K|g|d|b|M|T|k|f|P|D|B|L|S] [p|g|d|b|t|k]	+cons -long,-son,-cont	0.001	43456	392135	162719	0.0
